COUNTRY,REGION,ADMIN_LEVEL_NAME,LOG_TYPE,CATEGORY,MEASURE,TARGETED_POP_GROUP,COMMENTS,NON_COMPLIANCE,DATE_IMPLEMENTED,SOURCE,SOURCE_TYPE,LINK,ENTRY_DATE,Alternative source
Austria,Europe,,Introduction / extension of measures,Public health measures,Psychological assistance and medical social work,checked,"Psychological hotline for domestic violence, targeted at men for prevention efforts and support post incidents",Not applicable,20/4/20,Der Standard,Media,https://www.derstandard.at/story/2000116986602/neue-oesterreichweite-rufnummer-fuer-maennerberatung,20/4/20,
Austria,Europe,Lower Austria,Phase-out measure,Social distancing,Closure of businesses and public services,checked,Cultural institutions with large open-air area to open from 1st June; smaller ones (to be defined) from mid-May,Not applicable,21/4/20,Lower Austria government,Government,https://www.noe.gv.at/noe/Kultur_und_Covid-19__Land_NOe_faehrt_Kulturleben_schrittw.html,25/4/20,
Austria,Europe,,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,checked,"Psychotherapy care funding model adapted, to also cover telecounselling",Not applicable,21/4/20,Psychotherapy Association Austria,Other organisations,https://www.psychotherapie.at/psychotherapeutinnen/coronavirus-informationen-psychotherapeutinnen,25/4/20,
Austria,Europe,Lower Austria,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,,Financial support for municipalities of 36 mio. EUR,Not applicable,21/4/20,Lower Austria government,Government,https://www.noe.gv.at/noe/Land_NOe_unterstuetzt_Gemeinden_bei_Investitionen_in_Hoeh.html,25/4/20,
Austria,Europe,,Introduction / extension of measures,Public health measures,Psychological assistance and medical social work,,Regulations around psychotherapy adapted to allow use of telecounselling ,Not applicable,21/4/20,Psychotherapy Association Austria,Other organisations,https://www.psychotherapie.at/psychotherapeutinnen/coronavirus-informationen-psychotherapeutinnen,25/4/20,
Austria,Europe,,Introduction / extension of measures,Public health measures,General recommendations,,General recommendations for the safety in public spaces developed,Not applicable,21/4/20,Ministry of the Interior,Government,https://www.bmi.gv.at/news.aspx?id=4F3736462B6C52757A65413D,25/4/20,
Austria,Europe,Vienna,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,checked,Support for rent of companies,Not applicable,21/4/20,Vienna government,Government,https://coronavirus.wien.gv.at/site/unterstuetzung-fuer-mieterinnen-von-geschaeftslokalen/,25/4/20,
Austria,Europe,Vienna,Introduction / extension of measures,Public health measures,Strengthening the public health system,,1 mio. EUR for research project on COVID-19,Not applicable,21/4/20,Vienna government,Government,https://coronavirus.wien.gv.at/site/foerderung-fuer-coronavirus-forschungsprojekte/,25/4/20,
Austria,Europe,Vienna,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,checked,Work support for artists,Not applicable,21/4/20,Vienna government,Government,https://coronavirus.wien.gv.at/site/arbeitsstipendien-fuer-kuenstlerinnen-aufgestockt/,25/4/20,
Austria,Europe,,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,checked,Additional economic protection measures for persons with disability,Not applicable,22/4/20,Ministry of Social Affairs,Government,https://www.ots.at/presseaussendung/OTS_20200422_OTS0022/anschober-massnahmenpaket-zur-sicherung-der-arbeitsplaetze-von-menschen-mit-behinderungen,25/4/20,
Austria,Europe,Burgenland,Phase-out measure,Movement restrictions,Border closure,checked,"Rumanian care personell to be allowed to cross borders, starting beginning May sometime",Not applicable,23/4/20,Burgenland government,Government,https://www.burgenland.at/service/medienservice/aktuelle-meldungen/detail/news/rumaenische-personenbetreuerinnen-ein-und-ausreise-ab-mai-moeglich/,25/4/20,
Austria,Europe,,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,checked,Simplification of repayment for cancelled school trips,Not applicable,24/4/20,Government,Government,https://www.ots.at/presseaussendung/OTS_20200424_OTS0196/budgetausschuss-beschliesst-mit-weiteren-covid-19-gesetzen-unter-anderem-garantien-fuer-eu-hilfspakete,25/4/20,
Austria,Europe,,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,,VAT suspension for face masks,Not applicable,24/4/20,Government,Government,https://www.ots.at/presseaussendung/OTS_20200424_OTS0196/budgetausschuss-beschliesst-mit-weiteren-covid-19-gesetzen-unter-anderem-garantien-fuer-eu-hilfspakete,25/4/20,
Austria,Europe,,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,,650 Mio. ï¿½ for guarantee fonds of EU Investment bank and EU short-term work programme,Not applicable,24/4/20,Government,Government,https://www.ots.at/presseaussendung/OTS_20200424_OTS0196/budgetausschuss-beschliesst-mit-weiteren-covid-19-gesetzen-unter-anderem-garantien-fuer-eu-hilfspakete,25/4/20,
Austria,Europe,,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,checked,Suspension of various deadlines for several groups to avoid negative effects due to corona,Not applicable,24/4/20,Government,Government,https://www.ots.at/presseaussendung/OTS_20200424_OTS0196/budgetausschuss-beschliesst-mit-weiteren-covid-19-gesetzen-unter-anderem-garantien-fuer-eu-hilfspakete,25/4/20,
Austria,Europe,Lower Austria,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,checked,Economic support for innovation efforts of SMEs,Not applicable,24/4/20,Lower Austria government,Government,https://www.noe.gv.at/noe/Niederoesterreichische_Kleinunternehmen_werden_bei_Innova.html,25/4/20,
Austria,Europe,Traiskirchen,Introduction / extension of measures,Lockdown,Lockdown of refugee/idp camps or other minorities,,Refugee arrival centre in Traiskirchen is locked down with nobody allowed to enter or leave,Not applicable,24/4/20,Der Standard,Media,https://www.derstandard.at/story/2000117219054/gefluechtete-wehren-sich-gegen-ausgangsverbot-in-traiskirchen,3/5/20,
Austria,Europe,,Introduction / extension of measures,Governance and socio-economic measures,Emergency administrative structures activated or established,,Coronavirus task force installed,Not applicable,24/4/20,Ministry of Social Affairs,Government,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Taskforce.html,3/5/20,
Austria,Europe,Traiskirchen,Phase-out measure,Lockdown,Lockdown of refugee/idp camps or other minorities,,Refugee arrival centre in Traiskirchen to reopen ,Not applicable,30/4/20,Der Standard,Media,https://www.derstandard.at/story/2000117219054/gefluechtete-wehren-sich-gegen-ausgangsverbot-in-traiskirchen,3/5/20,
Austria,Europe,,Introduction / extension of measures,Movement restrictions,Border checks,,Extension until end of May: to ensure compliance with entry restrictions,Not applicable,30/4/20,Die Krone,Media,https://www.krone.at/2146442,3/5/20,
Austria,Europe,,Introduction / extension of measures,Movement restrictions,Border closure,,Extension until end of May: closure of borders ,Not applicable,30/4/20,Die Krone,Media,https://www.krone.at/2146442,3/5/20,
Austria,Europe,,Phase-out measure,Social distancing,Closure of businesses and public services,checked,All stores and services (e.g. hair dresser) allowed to re-open under strict existing hygiene measures,Not applicable,1/5/20,Government,Government,https://www.oesterreich.gv.at/public.html,11/4/20,
Austria,Europe,Vienna,Phase-out measure,Social distancing,Limit public gatherings,checked,Park Laxenburg to reopen,Not applicable,1/5/20,Vienna government,Government,https://coronavirus.wien.gv.at/site/schlosspark-laxenburg-ab-1-mai-wieder-offen/,25/4/20,
Austria,Europe,Burgenland,Phase-out measure,Public health measures,Isolation and quarantine policies,,Visiting in elderly homes and care homes allowed again,Not applicable,1/5/20,Burgenland government,Government,https://www.burgenland.at/service/medienservice/aktuelle-meldungen/detail/news/altenwohn-und-pflegeheime-besuche-mit-1-mai-wieder-moeglich/,25/4/20,
Austria,Europe,,Introduction / extension of measures,Social distancing,Limit public gatherings,,"Extension until further notice: 1m minimum distance in all public spaces (with exemptions of services where ""the character of the service requires closer proximity"", in public transport where necessary)",Not applicable,1/5/20,Ministry of Social Affairs,Government,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html,3/5/20,
